company_name,uen,industry,country,city,website,short_description,source
ICON INTERNATIONAL CONSULTING PTE. LTD.,201421154M,,Singapore,Singapore,,,acra
GROUPE PRESTIGE PTE. LTD.,202424334K,,Singapore,Singapore,,,acra
GUINNESS AIR CON SPECIALIST,52833626J,,Singapore,Singapore,,,acra
Y.H. FOOD TRADING,53239380E,,Singapore,Singapore,,,acra
GOLDEN BAMBOO BROS SUPERMART PTE LTD,199504101M,,Singapore,Singapore,,,acra
STRAITS FOODS (S) PTE. LTD.,202138702C,,Singapore,Singapore,,,acra
KIGEL PTE. LTD.,202442525C,,Singapore,Singapore,,,acra
NDV SKIN & BODY CARE PRIVATE LIMITED,200815711M,,Singapore,Singapore,,,acra
GLOBAL IS PTE. LTD.,201408700K,,Singapore,Singapore,,,acra
INNOVYNE TECHNOLOGIES PTE. LTD.,200603198E,,Singapore,Singapore,,,acra
CAL BUSINESS CONSULTANTS PTE LTD,199506425W,,Singapore,Singapore,,,acra
S MOVERS,53462380L,,Singapore,Singapore,,,acra
HMH COLLECTION,52931925W,,Singapore,Singapore,,,acra
RULEZERO PTE. LTD.,202540817E,,Singapore,Singapore,,,acra
AGATE RESOURCES PTE. LTD.,202325973K,,Singapore,Singapore,,,acra
ITS TRANSPORT SERVICES,52895803L,,Singapore,Singapore,,,acra
AY ACCOUNTING,53366408W,,Singapore,Singapore,,,acra
AGILITY MARKETING CONSULTANCY,53180368J,,Singapore,Singapore,,,acra
MTG RESOURCES PTE. LTD.,202107201G,,Singapore,Singapore,,,acra
DACAMA PTE. LTD.,202402464N,,Singapore,Singapore,,,acra
GO ONLINE GROUP,53137131W,,Singapore,Singapore,,,acra
GREAT EASTERN GENERAL INSURANCE LIMITED,192000003W,,Singapore,Singapore,,,acra
NEO-GENESIS,53066544A,,Singapore,Singapore,,,acra
E2IT INTERNATIONAL,53244355A,,Singapore,Singapore,,,acra
YICO ENTERPRISE,45608400B,,Singapore,Singapore,,,acra
GLOBEHOTEL MARKETING & MANAGEMENT PTE LTD,200002822N,,Singapore,Singapore,,,acra
THE GLOBAL TESOL,53059319W,,Singapore,Singapore,,,acra
AMS MARINE & OIL FIELD SUPPLIES PTE. LTD.,201131814K,,Singapore,Singapore,,,acra
TROJEN SG PTE. LTD.,201933847D,,Singapore,Singapore,,,acra
SMIT HOLDING SINGAPORE PTE. LTD.,200803195Z,,Singapore,Singapore,,,acra
OPULENCE CONCEPT DESIGN & TRADING,52857616W,,Singapore,Singapore,,,acra
GRAMINEX INTERNATIONAL PTE LTD,200006214C,,Singapore,Singapore,,,acra
MONTESSORI LAB,53009264J,,Singapore,Singapore,,,acra
OM ENGINEERING & SERVICES,52960303M,,Singapore,Singapore,,,acra
WACOAL INTERNATIONAL CORPORATI ON,S78FC2694C,,Singapore,Singapore,,,acra
T. M. ENGINEERING PTE. LTD.,200401404K,,Singapore,Singapore,,,acra
KANG FAMILY,53273739C,,Singapore,Singapore,,,acra
CHEW TSIAN PERNG,53353412K,,Singapore,Singapore,,,acra
L.T.S ( LINK TO SATISFASHION ),53028065E,,Singapore,Singapore,,,acra
SOON BEE TEXTILE,27632400E,,Singapore,Singapore,,,acra
TECHBUBBLE ALLIANCE PTE LTD,200003649D,,Singapore,Singapore,,,acra
FINGER TUNES MUSIC STUDIO PTE. LTD.,201912135N,,Singapore,Singapore,,,acra
CHROMATIC SERVICES,53239485B,,Singapore,Singapore,,,acra
WEBSITES BY DESIGN,53287947C,,Singapore,Singapore,,,acra
LIM YEOK TIONG TROPICAL FISH,33160900B,,Singapore,Singapore,,,acra
KING'S COLLECTION,53037497L,,Singapore,Singapore,,,acra
ARIES DESIGN & DECOR,52865870X,,Singapore,Singapore,,,acra
MY COUNTRY MOBILE PTE. LTD.,201535142E,,Singapore,Singapore,,,acra
GALAXY ENTERTAINMENT PROMOTION,29442000B,,Singapore,Singapore,,,acra
D&A RESOURCES PTE. LTD.,202238638N,,Singapore,Singapore,,,acra
HOSNI EXPRESS & SHA TRAVEL (S) PTE LTD,197903778M,,Singapore,Singapore,,,acra
ARYAAN,53122218K,,Singapore,Singapore,,,acra
CHAI CHEE GRANOLA BAKE SHOP,44875600E,,Singapore,Singapore,,,acra
PITTER PATTER WONDER,53430822L,,Singapore,Singapore,,,acra
AMPLEX TRADING & SERVICES,52803842K,,Singapore,Singapore,,,acra
SG50 SPA,53291325J,,Singapore,Singapore,,,acra
CAPITAL PARK PTE. LTD.,202225615H,,Singapore,Singapore,,,acra
T&P LIVE ASIA PTE. LTD.,201825187D,,Singapore,Singapore,,,acra
MOTOR CLINIC,53190991C,,Singapore,Singapore,,,acra
WAG ENTERTAINMENT PTE LTD,199102422E,,Singapore,Singapore,,,acra
CORTEX ONE PTE. LTD.,201824394R,,Singapore,Singapore,,,acra
CHAI HOE HUAT MACHINERY PTE. LTD.,201208204N,,Singapore,Singapore,,,acra
EFFICIENT ENERGY SOLUTIONS (INDONESIA) PTE. LTD.,202111027H,,Singapore,Singapore,,,acra
AXXMO INTERNATIONAL PTE LTD,199302339G,,Singapore,Singapore,,,acra
ERA PAPER BOX,22561700E,,Singapore,Singapore,,,acra
INTERNATIONAL PLANAR ASSOCIATES,53005785M,,Singapore,Singapore,,,acra
79 ANSON PTE. LTD.,200722460G,,Singapore,Singapore,,,acra
JD.COM E-COMMERCE (SINGAPORE) PTE. LTD.,201511638H,,Singapore,Singapore,,,acra
INTEGRATED CRUISE MANAGEMENT PTE. LTD.,202201792K,,Singapore,Singapore,,,acra
CHARLIE GENERAL SERVICES,46086200J,,Singapore,Singapore,,,acra
SQ IMAGE (S) PTE LTD,200001850N,,Singapore,Singapore,,,acra
MULTI TRANS & TRADING SERVICES,53386994C,,Singapore,Singapore,,,acra
SENG SQUARE INVESTMENTS PTE. LTD.,200602650D,,Singapore,Singapore,,,acra
BYTECRAFT PTE. LTD.,202324160M,,Singapore,Singapore,,,acra
TKNP BOARDROOM SERVICES PTE. LTD.,202214652M,,Singapore,Singapore,,,acra
K. C. TAN & SONS INVESTMENTS PTE. LTD.,198003422M,,Singapore,Singapore,,,acra
SKY TOP TRADING,53137913B,,Singapore,Singapore,,,acra
UNITED IRON-BED & FURNITURE FACTORY,04801900C,,Singapore,Singapore,,,acra
HOUSE OF JEWELS,53127747W,,Singapore,Singapore,,,acra
SMART TELECOM SERVICES,52920981X,,Singapore,Singapore,,,acra
INVISIBLEINK PTE. LTD.,202108871Z,,Singapore,Singapore,,,acra
B28 CAREER SERVICES PTE. LTD.,201701458N,,Singapore,Singapore,,,acra
STRATEGIC WEALTH ENTERPRISE PTE. LTD.,202433064G,,Singapore,Singapore,,,acra
DAY DAY,53418594X,,Singapore,Singapore,,,acra
S.L. SHANDY PTE LTD,199403508G,,Singapore,Singapore,,,acra
FOSUNS ASSET MANAGEMENT PTE. LTD.,202536071Z,,Singapore,Singapore,,,acra
ENNUI,53275543W,,Singapore,Singapore,,,acra
ONCOSHOT PTE. LTD.,201839138N,,Singapore,Singapore,,,acra
ABBILITY PTE. LTD.,202535597G,,Singapore,Singapore,,,acra
MACHEXPORT SINGAPORE (PTE) LTD,196800152R,,Singapore,Singapore,,,acra
SINGAPORE FOOD CULTURE PTE. LTD.,201333447D,,Singapore,Singapore,,,acra
ACUME HOLDINGS PTE. LTD.,202527833E,,Singapore,Singapore,,,acra
LAFLEURS COLLECTIONS PRIVATE LIMITED,202419510N,,Singapore,Singapore,,,acra
INGGU HOLDINGS PTE. LTD.,202133650G,,Singapore,Singapore,,,acra
DESIGN ACT PTE LTD,199206248R,,Singapore,Singapore,,,acra
SPECTRA LOGIC PTE. LTD.,200516170R,,Singapore,Singapore,,,acra
CHOPSTIKS DELIGHT,53040744B,,Singapore,Singapore,,,acra
FARA 2003,53165638A,,Singapore,Singapore,,,acra
LUMILEDS LIGHTING SINGAPORE PTE. LTD.,200107657D,,Singapore,Singapore,,,acra
NEXTDEAL,53221733X,,Singapore,Singapore,,,acra
U LIFE GLOBAL PTE. LTD.,202328680R,,Singapore,Singapore,,,acra
SRJ MARINE ENGINEERING PTE. LTD.,201700199R,,Singapore,Singapore,,,acra
SCEM ENTERPRISES,49917300K,,Singapore,Singapore,,,acra
MAHEY DESIGN,52942763W,,Singapore,Singapore,,,acra
VITLE HOLDING,53040597X,,Singapore,Singapore,,,acra
SEOW MUI TRADING ENTERPRISE,42571900J,,Singapore,Singapore,,,acra
MTS PTE. LTD.,201909018D,,Singapore,Singapore,,,acra
HONG TENG ENTERPRISE,48167300L,,Singapore,Singapore,,,acra
DEAMIND ACADEMY PTE. LTD.,202305440K,,Singapore,Singapore,,,acra
LENG & LYN,53136735E,,Singapore,Singapore,,,acra
BAIYUE LOGISTICS PTE. LTD.,202416258Z,,Singapore,Singapore,,,acra
AMALGAMATED MANAGEMENT INTERNA TIONAL SERVICES,24367800B,,Singapore,Singapore,,,acra
NAVRA GLOBAL PTE. LTD.,202236080K,,Singapore,Singapore,,,acra
HAI SHENG HENG ENTERPRISE,53136406B,,Singapore,Singapore,,,acra
FLIXCO,53343536J,,Singapore,Singapore,,,acra
T.G.P. GRAPHIC,52882941J,,Singapore,Singapore,,,acra
CLASSIC CREATIONS BY RAZACK,44344700D,,Singapore,Singapore,,,acra
COCO WERK(ASIA) PTE. LTD.,202418371R,,Singapore,Singapore,,,acra
RHEMA ENERGY & LOGISTICS PTE. LTD.,200901726Z,,Singapore,Singapore,,,acra
TUBINH JADE & JEWELLERY HOUSE,53151055K,,Singapore,Singapore,,,acra
X-ATTIRE TRADING,43490000A,,Singapore,Singapore,,,acra
BLUESTONE OFFSHORE PTE. LTD.,200613392G,,Singapore,Singapore,,,acra
INTERBEV (SINGAPORE) 2019 LIMITED,202004096N,,Singapore,Singapore,,,acra
POH RADIO & ELECTRICAL SERVICE,07284500K,,Singapore,Singapore,,,acra
TAN MENG TRADING,35630300D,,Singapore,Singapore,,,acra
NATURE TIMBER CONSTRUCTION,53089588M,,Singapore,Singapore,,,acra
HONG OCEAN PTE. LTD.,201313190K,,Singapore,Singapore,,,acra
DESIGN PERSPEKTIV,52820069X,,Singapore,Singapore,,,acra
WAH MENG ENTERPRISE PTE. LIMITED,196400021W,,Singapore,Singapore,,,acra
G.H.H. GENERAL SERVICES,52864896M,,Singapore,Singapore,,,acra
CONTINENTAL TIMBER (PRIVATE) LIMITED.,197101053H,,Singapore,Singapore,,,acra
SIRIUS PRODUCTION,52879389J,,Singapore,Singapore,,,acra
FREESPIRIT SEARCH & SELECTION,53148701J,,Singapore,Singapore,,,acra
ENTERPRISE DEVELOPMENT,52987484M,,Singapore,Singapore,,,acra
AZALP TECHNOLOGIES PTE. LTD.,202303366N,,Singapore,Singapore,,,acra
MING DONG ENTERPRISE,52845414E,,Singapore,Singapore,,,acra
WILD CHICKEN PRODUCTIONS PTE. LTD.,201723524R,,Singapore,Singapore,,,acra
CHAN CHAN TAILOR,07936400D,,Singapore,Singapore,,,acra
SIN HIN COFFEE SHOP,05597900M,,Singapore,Singapore,,,acra
CLAIRVA PTE. LTD.,202526338K,,Singapore,Singapore,,,acra
RESOURCE RESOURCES,53024694E,,Singapore,Singapore,,,acra
BUNKER RUSSIA,53161247C,,Singapore,Singapore,,,acra
BUAN SENG HENG AGENCIES,23608100D,,Singapore,Singapore,,,acra
COSMOHOMES PTE. LTD.,201634924E,,Singapore,Singapore,,,acra
MWH LLP,T21LL0583A,,Singapore,Singapore,,,acra
INO PRODUCTIONS SINGAPORE PTE. LTD.,200415673C,,Singapore,Singapore,,,acra
JUBILEE LAUNDRY PTE. LTD.,202116900Z,,Singapore,Singapore,,,acra
RRF LIMOUSINE,53422098C,,Singapore,Singapore,,,acra
SUPERIOR BRIDAL SALOON & STUDIO,25126100W,,Singapore,Singapore,,,acra
L'ALTERA PTE. LTD.,202140342C,,Singapore,Singapore,,,acra
KIT SIA TRADING COMPANY,32252900W,,Singapore,Singapore,,,acra
BUZY BUGS PTE. LTD.,201709289E,,Singapore,Singapore,,,acra
KENREG RESOURCES,52959475K,,Singapore,Singapore,,,acra
CRYSTONICS ENTERPRISE,39516200M,,Singapore,Singapore,,,acra
FIRST UNION ENTERPRISE & SERVICES,43816000B,,Singapore,Singapore,,,acra
EARTS CULTURE-TECH SINGAPORE PTE. LTD.,201014491K,,Singapore,Singapore,,,acra
SELVI OFFSHORE SUPPLY & ENGINEERING,52860173C,,Singapore,Singapore,,,acra
LIGHT UP YOUR LIFE PTE. LTD.,202443979D,,Singapore,Singapore,,,acra
SHOP ALL DAY,53214630A,,Singapore,Singapore,,,acra
MAXJOY PTE. LTD.,202312606D,,Singapore,Singapore,,,acra
SERENITY CASKET,53157875E,,Singapore,Singapore,,,acra
AMESBURY MARKETING CONSULTANTS,52860828B,,Singapore,Singapore,,,acra
TAJ LOGISTICS LLP,T14LL2040K,,Singapore,Singapore,,,acra
IQ EDUCATIONAL CONSULTANTS,52888857M,,Singapore,Singapore,,,acra
CLUB BELLE M PTE. LTD.,199502759W,,Singapore,Singapore,,,acra
MATHEMAGICS ASIA PTE. LTD.,200912910E,,Singapore,Singapore,,,acra
IMAGINATORS LLP,T17LL0038F,,Singapore,Singapore,,,acra
ENDOTS PTE. LTD.,201704126Z,,Singapore,Singapore,,,acra
TOTAL MAINTENANCE SERVICES,53102471K,,Singapore,Singapore,,,acra
POLIKON PTE. LTD.,201907152K,,Singapore,Singapore,,,acra
HSS ENGINEERING PTE LTD,199600450G,,Singapore,Singapore,,,acra
BUTTERFLY MEMORIAL,52919850M,,Singapore,Singapore,,,acra
JADEARROW TRADING AND TRANSPOR T COMPANY,24387300W,,Singapore,Singapore,,,acra
LOVEHOLIC CONSIGN PTE. LTD.,202145140M,,Singapore,Singapore,,,acra
TAN KIM TECK TRADING,44161100A,,Singapore,Singapore,,,acra
REVISION PRODUCTIONS,53240680W,,Singapore,Singapore,,,acra
MCS CASHMERE PTE. LTD.,200808567D,,Singapore,Singapore,,,acra
GOLDNLINKS ASIA PACIFIC PTE. LTD.,201502010G,,Singapore,Singapore,,,acra
MUHAMMAD STORE,33954400K,,Singapore,Singapore,,,acra
SKYDRONER PTE. LTD.,201703509H,,Singapore,Singapore,,,acra
NICK TAN,53336240K,,Singapore,Singapore,,,acra
BAN ONN TONG COLOR CENTRE,40932800J,,Singapore,Singapore,,,acra
GEMINI PRINTS PTE. LTD.,200600251D,,Singapore,Singapore,,,acra
LYNSEE ENGINEERING SERVICES PTE LTD,199901382Z,,Singapore,Singapore,,,acra
S SAM  TECHNO CONSULTANTS,53261427E,,Singapore,Singapore,,,acra
ETHAN K GLOBAL PTE. LTD.,201729171G,,Singapore,Singapore,,,acra
HRC PRINCIPAL TRADING PTE. LTD.,201736463H,,Singapore,Singapore,,,acra
JSTAR MOTORSPORTS,53232854W,,Singapore,Singapore,,,acra
KIDFIT,53445526C,,Singapore,Singapore,,,acra
HOTZ TRANSPORT SERVICES,53280326D,,Singapore,Singapore,,,acra
LUNA BIANCA BRIDAL PTE. LTD.,202369666E,,Singapore,Singapore,,,acra
ISELLER GLOBAL TECHNOLOGY PTE. LTD.,202040938W,,Singapore,Singapore,,,acra
SUPREMO LIMOUSINE AND TRANSPORTATION SERVICES,53352177K,,Singapore,Singapore,,,acra
HUB CHIN BUILD & TRADE,53045089E,,Singapore,Singapore,,,acra
NFC FOUNDATION LTD.,201735364H,,Singapore,Singapore,,,acra
XMOTS TECHNOLOGY INTERNATIONAL PTE. LTD.,201307542N,,Singapore,Singapore,,,acra
K N KALAYMEIKAM,05850700X,,Singapore,Singapore,,,acra
ZOMMODITY TECHNOLOGIES PTE. LTD.,201611265Z,,Singapore,Singapore,,,acra
OCEAN (2003) HOLDINGS SINGAPORE PTE. LTD.,200305620D,,Singapore,Singapore,,,acra
SUSTAINABILITY AUDITORS,53488029X,,Singapore,Singapore,,,acra
GOH AIK CHEW & CO,53131357C,,Singapore,Singapore,,,acra
GLOBALOFFICE SYSTEM PTE. LTD.,201432861H,,Singapore,Singapore,,,acra
TAKE & BOW BY JF,53392351D,,Singapore,Singapore,,,acra
TAY KOK HONG CONSTRUCTION,50641400X,,Singapore,Singapore,,,acra
VOIZMATRIX PTE LTD,200006427R,,Singapore,Singapore,,,acra
R&B AUTO DETAILING,53358343L,,Singapore,Singapore,,,acra
OGILVY CONSULTING (SINGAPORE) PTE. LTD.,200902249C,,Singapore,Singapore,,,acra
1 FLORIST & GIFTS,53167183J,,Singapore,Singapore,,,acra
CREATIVE SOURCING & MARKETING,52888038A,,Singapore,Singapore,,,acra
49CAP PTE. LTD.,201726847G,,Singapore,Singapore,,,acra
ELEVATE AND RECLAIM,53508139A,,Singapore,Singapore,,,acra
MLGH,53353265E,,Singapore,Singapore,,,acra
ARDY COMMUNICATIONS & MARKETING SERVICES,52841222A,,Singapore,Singapore,,,acra
CONCEPT DESIGN PTE. LTD.,200205817M,,Singapore,Singapore,,,acra
RENSHEN M&E PTE. LTD.,202406985H,,Singapore,Singapore,,,acra
QI FANG CHINESE PHYSICIAN & ACUPUNCTURE CENTRE,53156021W,,Singapore,Singapore,,,acra
ALAN CHIA ENTERPRISE,52826886D,,Singapore,Singapore,,,acra
PURPURSE PTE. LTD.,201719849Z,,Singapore,Singapore,,,acra
ONG INDUSTRIAL SUPPLIERS PTE LTD,198000532K,,Singapore,Singapore,,,acra
DNS CONSULTANCY INTERNATIONAL,53160985E,,Singapore,Singapore,,,acra
GMT REALTY,52828935K,,Singapore,Singapore,,,acra
VANGUARD RESEARCH INNOVATIONS PTE. LTD.,201706239M,,Singapore,Singapore,,,acra
H.I.S. GLOBAL TRAVEL PTE. LTD.,200101799M,,Singapore,Singapore,,,acra
DIGILIFESTYLESOLUTIONS,53411127X,,Singapore,Singapore,,,acra
DOMO DINER,53042400B,,Singapore,Singapore,,,acra
BOOK SHOP PUBLICATIONS,32638100K,,Singapore,Singapore,,,acra
SUN TECH EQUIPMENT SERVICE,52338300B,,Singapore,Singapore,,,acra
GS HAUS OF HOBBIES,53248223M,,Singapore,Singapore,,,acra
NET_RISTICS SOLUTIONS PTE. LTD.,201223887K,,Singapore,Singapore,,,acra
NUTRA-TECHNOLOGY,52959973B,,Singapore,Singapore,,,acra
OASIS CLEANING SERVICES,52808923D,,Singapore,Singapore,,,acra
TWIN TIGERS PTE. LTD.,202103346C,,Singapore,Singapore,,,acra
INTEGRITY RECORDS,53335042E,,Singapore,Singapore,,,acra
NAIL PALACE (CTP) PTE. LTD.,202041384G,,Singapore,Singapore,,,acra
SG MATHS MENTOR,53504000L,,Singapore,Singapore,,,acra
SINBA-OCEAN FREIGHT SERVICES,52882491X,,Singapore,Singapore,,,acra
HORNBILL RUGGED NETWORKS PTE. LTD.,200818183E,,Singapore,Singapore,,,acra
CHING BEE COFFEE POWDER,24706200J,,Singapore,Singapore,,,acra
ADONAI TRANSPORT AND LIMO,53349551B,,Singapore,Singapore,,,acra
PH AIR SHIELD,53422167W,,Singapore,Singapore,,,acra
NJC SUPPLIES,53137169K,,Singapore,Singapore,,,acra
PARASOL KIDS PTE. LTD.,202514746H,,Singapore,Singapore,,,acra
YEW SENG HENG TRADING,25775200E,,Singapore,Singapore,,,acra
HUA CONG BUSINESS SERVICES PTE LTD,199907115M,,Singapore,Singapore,,,acra
SYNERGY INSTITUTE OF MANAGEMENT AND INFORMATION TECHNOLOGY PTE. LTD.,201100880E,,Singapore,Singapore,,,acra
I65MEDIA PTE. LTD.,200505915R,,Singapore,Singapore,,,acra
NAGORE RED KOP,53458238M,,Singapore,Singapore,,,acra
PERLER CAPITAL PTE. LTD.,199407441M,,Singapore,Singapore,,,acra
BRILLIANT TOUCH LLP,T09LL0184A,,Singapore,Singapore,,,acra
TY & TAN TRADING,52991096M,,Singapore,Singapore,,,acra
HIO SENG ENTERPRISES PRIVATE LIMITED,197500076E,,Singapore,Singapore,,,acra
LIM HOCK SENG CONSTRUCTION,52937528A,,Singapore,Singapore,,,acra
LEE SIN MINIMART,53044721E,,Singapore,Singapore,,,acra
INFORMATION SYSTEMS DESIGN,28066100B,,Singapore,Singapore,,,acra
ALLTIMEGROUP PTE. LTD.,202020133K,,Singapore,Singapore,,,acra
NORTH POLE MAJESTA TRADING PTE. LTD.,201136435K,,Singapore,Singapore,,,acra
YEW YUAN TRADING,52995205W,,Singapore,Singapore,,,acra
GARUDA SERVICES SG PTE. LTD.,201736787C,,Singapore,Singapore,,,acra
DATASAFE RECORDS MANAGEMENT,52816165B,,Singapore,Singapore,,,acra
CHEUNG FONG CONSTRUCTION,50331300M,,Singapore,Singapore,,,acra
8VANCE ENGINEERING PRIVATE LIMITED,201506155M,,Singapore,Singapore,,,acra
CHWEE GUAN TROPICAL FISH TRADING,32524200C,,Singapore,Singapore,,,acra
WING PALI TRADING,52826996L,,Singapore,Singapore,,,acra
SOLISA PEPPERCORN PTE. LTD.,202123233W,,Singapore,Singapore,,,acra
FENGYI SERVICES,53090276A,,Singapore,Singapore,,,acra
SINMAH CAPITAL PTE. LTD.,202023774H,,Singapore,Singapore,,,acra
NZK ACCOUNTING & CONSULTING FIRM,53382575W,,Singapore,Singapore,,,acra
FORMITALIA PTE LTD,199203324M,,Singapore,Singapore,,,acra
TECHRUPA PTE. LTD.,201511953D,,Singapore,Singapore,,,acra
FM ENGINEERING PTE. LTD.,200918334E,,Singapore,Singapore,,,acra
UNIQUE TRUST CORPORATE SERVICES PTE. LTD.,201019958K,,Singapore,Singapore,,,acra
COMPUSMART,52959476E,,Singapore,Singapore,,,acra
TAN JOK SAN INSPECTION SERVICES,43177900K,,Singapore,Singapore,,,acra
JAI TECH CONSULTANT PRIVATE LTD.,200701572D,,Singapore,Singapore,,,acra
LIVEWEL AVIATION SERVICES,53187063D,,Singapore,Singapore,,,acra
ROYSTON EXPRESS SERVICE,47722300A,,Singapore,Singapore,,,acra
